326927	332678
520678	116600
672064	423944
552996	560888
365435	301706
743842	427398
378426	441100
318180	348660
379426	395819
383743	336124
515262	160364
676069	730765
426945	457755
848117	167044
710198	436601
492614	484450
770646	726835
686906	613652
351774	344868
381051	392757
745362	291542
357413	854710
638330	441574
874970	920581
450280	357027
656615	406845
750531	558317
343607	17308
333990	365541
640415	533756
303511	281939
518403	526191
446050	429850
353875	318446
668215	54189
436145	395871
585345	494906
402988	450161
522058	347750
369352	281294
434433	510572
783085	920904
401856	265522
900491	639214
1259441	640890
437421	419836
579913	429207
315676	461528
896077	570608
843679	1009408
405800	305251
410753	516973
396828	388486
430868	721908
1345753	290207
311261	362721
442551	360470
822643	655517
749319	229510
487272	373760
894067	677711
544201	352469
847234	735531
831671	931228
1029134	471733
535172	495875
863308	679637
1191045	537240
415783	346891
911264	388455
802522	172122
388031	372985
482579	588621
1483631	313261
917404	484876
425854	263291
481973	366067
884400	572954
952124	817236
1041488	26497
708314	19574
880078	391564
397140	415975
415992	566180
705708	560283
994449	731433
557524	491682
469142	530881
534707	235404
822931	1098252
539743	17208
843870	451272
703464	686750
998520	873096
374587	447119
724777	596894
1010068	756859
477364	444937
769794	629418
515466	404523
1010870	406893
431026	538654
1014055	416184
1031548	643542
893643	728092
875798	857803
891084	728542
489500	627931
814650	539003
392501	338214
564360	555381
563309	711099
656018	435342
237637	260360
908184	399260
395271	516568
664514	487394
771180	824775
448915	546627
616495	63467
776019	676191
858477	436649
501354	404410
493102	335926
907871	543581
329910	266651
825246	435483
372879	242555
530743	455145
375557	N/A
889036	563209
849237	1005980
510248	323070
734972	616603
720052	478988
1183385	382356
491535	504859
339603	372204
839887	569409
580207	483129
835141	973495
684571	679759
773263	730291
476463	384742
329789	408887
684648	599951
776330	401481
377145	340504
721797	760075
746820	408845
554568	648308
750695	266291
344173	369914
486681	720143
425128	198716
503709	338364
327222	249685
463929	N/A
869509	402736
364463	374818
656695	517581
427189	396840
355969	186511
310972	293562
747789	738562
574841	118041
475892	414137
367601	316183
508443	395902
441850	161844
831233	555829
437860	443134
574174	407243
544354	182964
713494	613811
887836	417937
476525	439097
390102	470098
673521	661476
985220	393442
757029	458282
631589	101065
693495	386837
716859	419033
371846	240982
451177	408856
411477	257249
552426	35421
369260	409385
436539	213082
459848	23129
681146	684249
567091	21707
112188	339813
633436	318645
777478	719129
489253	495042
844739	659595
391972	435876
499500	403720
750868	434000
577222	351770
838057	986185
1047633	498016
377629	377455
535796	218602
349206	76647
1119520	445888
1026352	456625
524503	340345
615198	379268
517247	191272
365340	379740
441354	168646
752668	201760
351198	498545
253333	369054
626416	223659
758005	158019
377015	525018
362859	143481
903774	886020
883389	766724
1066805	804626
768106	514383
1472598	706760
1104444	663492
568180	229289
434241	458525
403092	41406
584473	54821
972121	757628
958372	518880
859664	16878
846374	384533
1238749	789882
381170	365692
466430	215964
926492	26596
525888	667611
427026	287797
1201284	527130
518150	485785
967803	541168
846882	667244
462352	390741
693048	55521
894711	613815
436861	28846
919096	665125
593377	507906
416581	26475
940407	481628
914535	482789
795200	350388
750864	608122
643512	389761
528730	595097
572489	42065
605532	802930
937870	795019
853894	1005112
801371	714743
694583	646002
349556	379262
529693	383696
489467	424411
575150	54996
571900	17516
399271	33124
455135	549863
405310	343328
737818	694514
668722	456038
420310	429557
914352	765114
835972	735838
476089	117263
399950	446863
424325	521838
1032170	464388
738352	764985
507532	342379
888732	914092
693775	537975
815326	410518
546063	315785
562909	762890
506214	151688
437310	296255
365385	150483
342965	178403
528802	421720
526484	49193
392132	144751
391944	15037
550376	213989
491354	226096
849956	556128
650664	834997
425196	444422
495367	743836
409754	19272
369637	454215
436922	172386
511431	106644
555031	384650
409497	246524
750602	863492
348647	288364
897886	496854
798122	360529
598534	N/A
443373	417994
823534	N/A
389793	175439
474530	67090
1020920	791178
449611	320379
593089	568769
448084	31525
869276	623325
882143	718791
436683	346038
841166	82322
927107	538480
539665	375392
294078	316641
413116	344391
399298	394026
689541	279157
593687	451817
809870	549298
770633	420681
748900	352063
722158	647870
637839	611222
337669	656918
1143496	686486
409207	212944
473928	439368
955052	517333
1026270	387335
759729	380982
544191	354304
641455	521628
408694	328955
386588	245257
769198	863393
338505	148956
440122	68032
442531	391642
306495	28161
868478	224187
450450	327353
